L0 Component,L0 Component  Business Unit Alignment,L1 Component,L1 Component Description,L2 Capability  Component,L2 Capability  Component Description
Pay,Business Operations,Billing Comms Mgmt,Create and deliver billing statements and communication content.,Billing Communications Content Mgmt,Create and manage the content of billing communications.
Pay,Business Operations,Billing Comms Mgmt,Create and deliver billing statements and communication content.,Bill Format Mgmt,Define and manage formats of customer bills.
Pay,Business Operations,Bill Event Error Mgmt,"Identify, track, and resolve billing event errors.",Bill Event Error Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Bill Event Error Mgmt,"Identify, track, and resolve billing event errors.",Fallout / Error Mgmt,Detect and resolve billing event errors and fallouts.
Pay,Business Operations,Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",Billing Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",Tax Management,Apply and manage taxes within billing processes.
Pay,Business Operations,Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",Q&A (crossed out in slide),[Deprecated – removed from scope] Manage customer billing questions and provide quick answers
Pay,Business Operations,Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",Dispute Management,Manage billing disputes raised by customers.
Pay,Business Operations,Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",Billing Event Mgmt,Track and manage billing-related events and adjustments.
Pay,Business Operations,Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",Billing / Revenue Leakage Control,Identify and prevent revenue leakage in billing.
Pay,Business Operations,Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",Wholesale Billing,Manage billing processes for wholesale services.
Pay,Business Operations,Commit & Perform Mgmt,Track customer commitments and performance against agreed terms.,Commit & Perform Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Commit & Perform Mgmt,Track customer commitments and performance against agreed terms.,Commitment Mgmt Tracking,Track customer commitments against agreed terms.
Pay,Business Operations,Commit & Perform Mgmt,Track customer commitments and performance against agreed terms.,Performance Charges / Credits,Apply charges or credits based on service performance.
Pay,Business Operations,Post Bill Mgmt,"Handle billing inquiries, adjustments, and post-bill corrections.",Post Bill Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Post Bill Mgmt,"Handle billing inquiries, adjustments, and post-bill corrections.",Billing Inquiry Management,Handle customer inquiries related to bills.
Pay,Business Operations,Post Bill Mgmt,"Handle billing inquiries, adjustments, and post-bill corrections.",Billing Adjustment Mgmt,Process adjustments to customer bills after issuance.
Pay,Business Operations,Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",Invoice Arrange Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",Flexible Invoice Options,Provide flexible invoice delivery and layout options.
Pay,Business Operations,Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",Consolidation Options,Consolidate multiple invoices into a single statement.
Pay,Business Operations,Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",Billing Content Customer Requested,Provide customized billing content requested by customers.
Pay,Business Operations,Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",Invoice Frequency Mgmt,Manage billing and invoice frequency preferences.
Pay,Business Operations,Payment Capture,Process and issue customer payments and settlements.,Payment Capture Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Payment Capture,Process and issue customer payments and settlements.,Invoice / Settlement Issuance,Issue invoices and settlements for customer payments.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Collections Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Collection Policy Definition and Configuration,Define and configure policies for collections.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Collection Policy Execution and Monitoring,Execute and monitor collection activities.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Collection Settlement,Process settlements for collected payments.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Payment Arrangement,Set up and manage customer payment arrangements.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Payment Investigation,Investigate and resolve payment discrepancies.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Bankruptcy Notification and Account Mgmt,Manage bankruptcy notifications and affected accounts.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Bankruptcy Court Filing,File and manage bankruptcy cases in court.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Bankruptcy Charges Reconciliation,Reconcile charges related to bankruptcy cases.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Trustee Payment Mgmt,Manage trustee payments during bankruptcy processes.
Pay,Business Operations,Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",Bankruptcy Reporting & Analytics,Report and analyze bankruptcy-related collections data.
Pay,Business Operations,Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",Receivables Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",Financial Customer & Account Mgmt,Manage customer financial accounts and receivables.
Pay,Business Operations,Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",Accounts Receivable Sub-Ledger,Maintain detailed sub-ledger for receivables.
Pay,Business Operations,Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.","Transaction Control, Accounting Derivation & Reporting",Control transactions and ensure accurate accounting and reporting.
Pay,Business Operations,Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",Credit Mgmt (crossed out in slide),"[Deprecated – removed from scope] Oversee customer credit limits, risk assessment, and credit approvals"
Pay,Business Operations,Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",Bankruptcy & Write-Off,Manage receivable write-offs and bankruptcies.
Pay,Business Operations,Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",Revenue Assurance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",RA Audits & Controls,Perform audits and enforce revenue assurance controls.
Pay,Business Operations,Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",RA Monitoring & Reporting,Monitor and report revenue assurance metrics.
Pay,Business Operations,Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",RA Analytics,Analyze data to detect revenue assurance risks.
Pay,Business Operations,Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",RA Correction & Recovery,Correct errors and recover lost revenue.
Pay,Business Operations,Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",Contract Compliance,Ensure compliance with contract terms for billing and payments.
Pay,Business Operations,Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",Cost to Serve Analytics,Analyze costs to serve customers and impact on revenue.
Pay,Business Operations,A&BR Mgmt,Conduct account and billing reviews to ensure accuracy and transparency.,A&BR Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,A&BR Mgmt,Conduct account and billing reviews to ensure accuracy and transparency.,Billing Accuracy Review,Review bills to ensure accuracy against contracts and usage.
Pay,Business Operations,A&BR Mgmt,Conduct account and billing reviews to ensure accuracy and transparency.,Account Spend & Usage Analysis,Analyze account spend and usage to identify trends and insights.
Support,Business Operations,Ticket Mgmt,"Capture, categorize, assign, and track support tickets through closure.",Ticket Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Ticket Mgmt,"Capture, categorize, assign, and track support tickets through closure.",Ticket Creation & Categorization,Create support tickets and categorize them for routing.
Support,Business Operations,Ticket Mgmt,"Capture, categorize, assign, and track support tickets through closure.",Ticket Assignment & Tracking,Assign tickets to owners and track progress to closure.
Support,Business Operations,Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",Incident Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",Incident Tracking and Management,Track and manage incidents from start to resolution.
Support,Business Operations,Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",Incident Orchestration Mgmt,Coordinate resources and systems to handle incidents.
Support,Business Operations,Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",Incident Prioritization,Rank incidents by severity and business impact.
Support,Business Operations,Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",Resource Engagement,Engage the right teams and experts to resolve incidents.
Support,Business Operations,Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",Incident Resolution,Resolve incidents and restore normal service quickly.
Support,Business Operations,Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",Problem Analysis (RCA),Perform root cause analysis to prevent recurring incidents.
Support,Business Operations,Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",Event Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",Asset Identification,Identify assets impacted by events.
Support,Business Operations,Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",Access Mgmt,Manage access rights related to event responses.
Support,Business Operations,Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",Event Monitoring,Monitor systems and networks to detect events.
Support,Business Operations,Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",Event Smoothing,Filter and normalize event data to reduce noise.
Support,Business Operations,Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",Event Correlation,Correlate related events to identify root issues.
Support,Business Operations,Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",Change Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",Initiate Change Request,Create and log change requests for review.
Support,Business Operations,Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",Change Activity Customer Identification,Identify customers impacted by change activities.
Support,Business Operations,Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",Execute Change Activity,Carry out approved change activities in systems or services.
Support,Business Operations,Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",Scheduled Maintenance,Manage planned maintenance activities with minimal disruption.
Support,Business Operations,Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",Diagnose Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",Diagnose Initiation,Initiate diagnostic checks for customer issues.
Support,Business Operations,Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",Diagnose Execution,Perform diagnostic steps to identify problems.
Support,Business Operations,Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",Diagnose Access,Provide access to tools and systems for diagnostics.
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",Customer SLA Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",Solution SLA Mgmt,Define and monitor service level agreements for solutions.
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",SLA Financial Risk Analysis,Analyze financial risks associated with SLA breaches.
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",SLA RFP Response (Pre-Sale),Respond to RFPs with SLA terms during pre-sales.
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",SLA Approval,Review and approve SLA commitments with customers.
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",SLA Credit Processing,Process customer credits for SLA violations.
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",Product SLA Mgmt,Define and manage SLAs for specific products.
Support,Business Operations,Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",SLA Credit Tracking & Reporting,Track and report SLA credit applications.
Support,Business Operations,MACD,"Handle customer requests for moves, adds, changes, and disconnects.",MACD Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,MACD,"Handle customer requests for moves, adds, changes, and disconnects.",Solution Migration,Manage migration of existing customer solutions.
Support,Business Operations,MACD,"Handle customer requests for moves, adds, changes, and disconnects.",Solution Addition,Add new solutions or services for customers.
Support,Business Operations,MACD,"Handle customer requests for moves, adds, changes, and disconnects.",Solution Change,Modify or update existing customer solutions.
Support,Business Operations,MACD,"Handle customer requests for moves, adds, changes, and disconnects.",Solution Disconnect,Remove or disconnect solutions when required.
Support,Business Operations,Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",Contact Center Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",Inside-sales / Cross-sell,Use contact center interactions to drive sales and cross-sell opportunities.
Support,Business Operations,Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",Assisted Care Operations,Provide assisted customer care through service agents.
Support,Business Operations,Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",Workforce Assist,Support agents with tools and insights to improve efficiency.
Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",Customer Retention Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",Customer Survey,Conduct surveys to gather customer satisfaction data.
Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",Customer Feedback Analysis (Active),Analyze active customer feedback for improvement.
Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",Customer Satisfaction Validation,Validate customer satisfaction levels against expectations.
Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",Customer Relationship Analysis,Analyze customer relationships to identify risks or opportunities.
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",Compliance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",Risk Management,Identify and manage risks related to compliance.
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",Policy and Compliance Mgmt,"Define, enforce, and monitor compliance policies."
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",Audit Mgmt,Plan and execute compliance audits across systems.
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",Seller & Channel Enablement,Ensure sellers and channels meet compliance requirements.
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",Vendor Risk Mgmt,Assess and manage compliance risks for vendors.
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",FCC Compliance,"Manage compliance with FCC regulations like service reporting, tariff requirements, and customer data protections."
Support,Business Operations,Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",Device Vulnerability Mgmt,Track and mitigate vulnerabilities in customer devices.
Network,Business Operations,New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",New Network Build Planning Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Network,Business Operations,New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",Business Case & Modeling,Build business cases and models to justify new network builds.
Network,Business Operations,New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",High-Level Design (HLD),Create high-level designs for planned network builds.
Network,Business Operations,New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",Survey and Low-level Design (LLD),Conduct site surveys and develop detailed low-level designs.
Network,Business Operations,New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",Construction Packages,Prepare construction packages with detailed build instructions.
Network,Business Operations,Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",Network Maintenance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Network,Business Operations,Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",Service Assurance,Monitor and maintain network performance and service quality.
Network,Business Operations,Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",Asset Service Management,Manage lifecycle and serviceability of network assets.
Network,Business Operations,Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",Network Management,Oversee network operations and maintenance activities.
Network,Business Operations,Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",Last Mile & Customer Location Maintenance,"Deliver, install, and maintain last-mile connectivity and customer-premises equipment through on-going service and support"
Network,Business Operations,Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",Network Performance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Network,Business Operations,Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",Network Performance Monitoring,Continuously monitor network health and performance metrics.
Network,Business Operations,Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",Network Performance Analysis,Analyze network data to identify issues and trends.
Network,Business Operations,Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",Network Performance Reporting,Generate reports on network performance and service quality.
Network,Business Operations,Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",Network Performance Planning,Plan improvements and capacity based on performance analysis.
Network,Business Operations,Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",Network & Field Data Lake,Manage a centralized data lake for network and field data.
Network,Business Operations,Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",Threat Analysis & Intelligence Gathering,Identify and assess emerging threats through continuous intelligence gathering and analysis
Product,Product & Pricing,Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",Catalog Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Product,Product & Pricing,Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",Solution Catalog Product & Offer Mgmt,Manage products and offers within the solution catalog.
Product,Product & Pricing,Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",Solution Catalog Content Mgmt,Maintain catalog content including descriptions and attributes.
Product,Product & Pricing,Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",Solution Catalog Pricing Mgmt,Define and manage product pricing in the catalog.
Product,Product & Pricing,Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",Solution Catalog Promotions & Discount Mgmt,Configure promotions and discounts for catalog products.
Product,Product & Pricing,Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",Solution Catalog User Role Management,Control user roles and access within the catalog system.
Product,Product & Pricing,ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",ELE Product Lifecycle Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Product,Product & Pricing,ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",Product Capability Reqs Definition,Define capability requirements for new products.
Product,Product & Pricing,ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",Solution Configuration Mgmt,Configure and manage solution features and options.
Product,Product & Pricing,ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",Monetization Models Management,Define and manage product monetization and pricing models.
Product,Product & Pricing,ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",Product Catalog Lifecycle Mgmt,Manage catalog updates across the product lifecycle.
Product,Product & Pricing,ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",Product Performance Mgmt,Monitor and report on product performance in market.
Product,Product & Pricing,ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",Product Retirement & Rationalization,Retire outdated products and rationalize the portfolio.
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Pricing / Deals Decision Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Product Rating & Rate Assignment,Assign rates and ratings for products and services.
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.","Discounts, Rebates, and Adjustments","Manage discounts, rebates, and price adjustments."
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Pricing Rules & Promotions Mgmt,Define and enforce pricing rules and promotions.
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Pricing Publication & Distribution Mgmt,Publish and distribute pricing information to channels.
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Revenue Recognition Rules Management,Apply revenue recognition rules for products and deals.
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Deal Desk Governance & Approval,Govern deal approvals through structured deal desk processes.
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Complex Deal Modeling & Margin Analysis,Model complex deals and analyze margin impacts.
Product,Product & Pricing,Pricing / Deals Decision,"Manage product pricing, discounts, deal structures, and revenue rules.",Deal Performance Tracking & Compliance,Track deal performance and ensure compliance with rules.
Product,Product & Pricing,Capital Planning,"Plan, budget, allocate, and track capital investments and financing.",Capital Planning Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Product,Product & Pricing,Capital Planning,"Plan, budget, allocate, and track capital investments and financing.",Capital Investment Mgmt,Plan and manage capital investments for products.
Product,Product & Pricing,Capital Planning,"Plan, budget, allocate, and track capital investments and financing.",Capital Financing Mgmt,Arrange and oversee financing for capital projects.
Product,Product & Pricing,Capital Planning,"Plan, budget, allocate, and track capital investments and financing.",Capital Budgeting & Forecasting Mgmt,Budget and forecast capital spending needs.
Product,Product & Pricing,Capital Planning,"Plan, budget, allocate, and track capital investments and financing.",Capital Allocation & Prioritization Mgmt,Allocate and prioritize capital across initiatives.
Product,Product & Pricing,Capital Planning,"Plan, budget, allocate, and track capital investments and financing.",Capital Performance Tracking & Reporting Mgmt,Track and report performance of capital investments.
Product,Product & Pricing,Product Experience,"Oversee product adoption, quality, feedback, and experience optimization.",Product Experience Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Product,Product & Pricing,Product Experience,"Oversee product adoption, quality, feedback, and experience optimization.",Product Adoption & Usage Management,Monitor adoption and usage of products by customers.
Product,Product & Pricing,Product Experience,"Oversee product adoption, quality, feedback, and experience optimization.",Product Quality & Issue Analytics Management,Track product quality and analyze customer issues.
Product,Product & Pricing,Product Experience,"Oversee product adoption, quality, feedback, and experience optimization.",Product Feedback Integration Management,Gather and integrate customer feedback into product improvements.
Product,Product & Pricing,Product Experience,"Oversee product adoption, quality, feedback, and experience optimization.",Product Personalization & Feature Enablement,Enable personalization and feature configuration for products.
Product,Product & Pricing,Product Experience,"Oversee product adoption, quality, feedback, and experience optimization.",Product Experience Optimization,Continuously optimize product experience for customers.
Product,Business Commercialization,GTM Enablement / Offers,"Manage offer design, launch, channel enablement, and performance tracking.",GTM Enablement / Offers Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Product,Business Commercialization,GTM Enablement / Offers,"Manage offer design, launch, channel enablement, and performance tracking.",Market Research & Competitive Intelligence,Conduct research and gather intelligence for offers.
Product,Business Commercialization,GTM Enablement / Offers,"Manage offer design, launch, channel enablement, and performance tracking.",Offer Definition & Packaging,Define offers and package solutions for go-to-market.
Product,Business Commercialization,GTM Enablement / Offers,"Manage offer design, launch, channel enablement, and performance tracking.",Campaign & Launch Planning,Plan campaigns and launches for new offers.
Product,Business Commercialization,GTM Enablement / Offers,"Manage offer design, launch, channel enablement, and performance tracking.",Seller & Channel Enablement,Enable sellers and channels with tools and training for offers.
Product,Business Commercialization,GTM Enablement / Offers,"Manage offer design, launch, channel enablement, and performance tracking.",Offer Performance Monitoring & Iteration (Post-Launch),Monitor offer performance and iterate based on results.
Product,Business Commercialization,GTM Enablement / Offers,"Manage offer design, launch, channel enablement, and performance tracking.",Offer Sunset & Rationalization,Retire or rationalize offers based on performance and strategy.
Product,Business Commercialization,Product Strategy & Innovation,Define and evolve product strategy through continuous innovation and portfolio planning.,Product Strategy Leader / Management,Management level 2 and above that touch all parts of the L1 capability
Product,Business Commercialization,Product Strategy & Innovation,Define and evolve product strategy through continuous innovation and portfolio planning.,Portfolio Optimization & Simplification,Optimize and streamline product portfolios to align with business priorities and reduce complexity.
Product,Business Commercialization,Product Strategy & Innovation,Define and evolve product strategy through continuous innovation and portfolio planning.,Product Strategy Development,"Develop and refine product strategies to support growth, competitiveness, and differentiation."
Product,Business Commercialization,Product Strategy & Innovation,Define and evolve product strategy through continuous innovation and portfolio planning.,"Innovation - Idea Harvest, Product Ideation & Strategic Fit",Capture and evaluate new product ideas to ensure alignment with strategic goals.
Product,Business Commercialization,Product Strategy & Innovation,Define and evolve product strategy through continuous innovation and portfolio planning.,Innovation - Product Design & Development,Design and develop innovative product solutions from concept to commercialization.
Product,Business Commercialization,Product Strategy & Innovation,Define and evolve product strategy through continuous innovation and portfolio planning.,"Innovation - GTM, Launch & Product Evolution",Plan and execute go-to-market strategies and drive continuous product improvement.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer Data Leader/Management,Management level 2 and above that touch all parts of the L1 capability
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer Hierarchy Mgmt,Manage customer hierarchy structures and relationships.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer Profile Mgmt,Maintain customer profile details and attributes.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer Interaction Mgmt,Track and manage customer interactions across channels.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer Contact Mgmt,Manage customer contact information and preferences.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer Competitive Analysis,Analyze customer data to assess competitive positioning.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer Activity Analysis (Passive),Capture and analyze passive customer activity data.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Company Identity Mgmt,Manage company identity and associated attributes.
Reporting & Data Platforms,Business Operations,Customer Data Mgmt,"Manage customer data including hierarchy, profiles, interactions, and identity.",Customer 360 Mgmt,Provide a unified 360-degree view of customer data.
Reporting & Data Platforms,Business Operations,Customer Inventory Mgmt,"Create, update, and manage customer inventory records and access.",Customer Inventory Leader/Management,Management level 2 and above that touch all parts of the L1 capability
