L0 Component,L0 Component  Business Unit Alignment,L1 Component,L1 Component Description,L2 Capability  Component,L2 Capability  Component Description
3. Get,Business Operations,3.06 Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",3.06.02 Solution Demo & Trial,Provide solution demos and trials to validate design.
3. Get,Business Operations,3.06 Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",3.06.03 Integrated Solution Design,Create integrated solution designs across platforms and services.
3. Get,Business Operations,3.06 Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",3.06.04 Solution Design Help,Provide support and guidance for solution design activities.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.00 Access & Security Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.01 Portal Navigation Experience,Provide a simple and intuitive navigation experience for portal users.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.02 Common Login,Enable a single login experience across systems and services.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.03 Account Access Mgmt,Manage customer account-level access permissions.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.04 User Administration,"Create, update, and manage user profiles and roles."
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.05 Function Access Mgmt,Control user access to specific features and functions.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.06 Product Access Mgmt,Grant and manage access rights for specific products or services.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.07 Profile Mgmt,Manage user profile information and preferences.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.08 Portal Access Registration,Register users and enable access to the customer portal.
4. Use,Business Operations,4.01 Access & Security Management,"Manage user access, authentication, and security for portals and products.",4.01.09 Consent Policy & Preference Setup,"Capture and manage user consent, policies, and communication preferences."
4. Use,Business Operations,4.02 Customer Portal & Dashboard Management,Configure dashboards and provide analytics for visibility and control.,4.02.00 Customer Portal & Dashboard Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
4. Use,Business Operations,4.02 Customer Portal & Dashboard Management,Configure dashboards and provide analytics for visibility and control.,4.02.01 Dashboard Configuration,Configure dashboards to display customer-selected views and data.
4. Use,Business Operations,4.02 Customer Portal & Dashboard Management,Configure dashboards and provide analytics for visibility and control.,4.02.02 Performance Analytics,Provide performance analytics and insights through dashboards.
4. Use,Business Operations,4.03 Training & Tutorials Management,"Deliver training, help content, and knowledge resources for seller & customer enablement.",4.03.00 Training & Tutorials Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
4. Use,Business Operations,4.03 Training & Tutorials Management,"Deliver training, help content, and knowledge resources for seller & customer enablement.",4.03.01 Help,Deliver help content and support tools for customers.
4. Use,Business Operations,4.03 Training & Tutorials Management,"Deliver training, help content, and knowledge resources for seller & customer enablement.",4.03.02 Knowledge Base & Script Readiness,Provide a searchable knowledge base and ready-to-use scripts.
5. Pay,Business Operations,5.01 Account Pricing Mgmt,"Manage customer usage, rating, and discount structures for billing.",5.01.00 Account Pricing Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.01 Account Pricing Mgmt,"Manage customer usage, rating, and discount structures for billing.",5.01.01 Usage & Rating Mgmt,Manage customer usage data and apply rating rules for billing.
5. Pay,Business Operations,5.01 Account Pricing Mgmt,"Manage customer usage, rating, and discount structures for billing.",5.01.02 Discount Management,Apply and track discounts on customer accounts.
5. Pay,Business Operations,5.02 Billing Comms Mgmt,Create and deliver billing statements and communication content.,5.02.00 Billing Comms Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.02 Billing Comms Mgmt,Create and deliver billing statements and communication content.,5.02.01 Billing Delivery Management,Deliver billing statements through chosen channels.
5. Pay,Business Operations,5.02 Billing Comms Mgmt,Create and deliver billing statements and communication content.,5.02.02 Billing Communications Content Mgmt,Create and manage the content of billing communications.
5. Pay,Business Operations,5.02 Billing Comms Mgmt,Create and deliver billing statements and communication content.,5.02.03 Bill Format Mgmt,Define and manage formats of customer bills.
5. Pay,Business Operations,5.03 Bill Event Error Mgmt,"Identify, track, and resolve billing event errors.",5.03.00 Bill Event Error Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.03 Bill Event Error Mgmt,"Identify, track, and resolve billing event errors.",5.03.01 Fallout / Error Mgmt,Detect and resolve billing event errors and fallouts.
5. Pay,Business Operations,5.04 Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",5.04.00 Billing Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.04 Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",5.04.01 Tax Management,Apply and manage taxes within billing processes.
5. Pay,Business Operations,5.04 Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",5.04.02 Q&A (crossed out in slide),[Deprecated – removed from scope] Manage customer billing questions and provide quick answers
5. Pay,Business Operations,5.04 Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",5.04.03 Dispute Management,Manage billing disputes raised by customers.
5. Pay,Business Operations,5.04 Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",5.04.04 Billing Event Mgmt,Track and manage billing-related events and adjustments.
5. Pay,Business Operations,5.04 Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",5.04.05 Billing / Revenue Leakage Control,Identify and prevent revenue leakage in billing.
5. Pay,Business Operations,5.04 Billing Mgmt,"Oversee billing processes, disputes, leakage control, and wholesale billing.",5.04.06 Wholesale Billing,Manage billing processes for wholesale services.
5. Pay,Business Operations,5.05 Commit & Perform Mgmt,Track customer commitments and performance against agreed terms.,5.05.00 Commit & Perform Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.05 Commit & Perform Mgmt,Track customer commitments and performance against agreed terms.,5.05.01 Commitment Mgmt Tracking,Track customer commitments against agreed terms.
5. Pay,Business Operations,5.05 Commit & Perform Mgmt,Track customer commitments and performance against agreed terms.,5.05.02 Performance Charges / Credits,Apply charges or credits based on service performance.
5. Pay,Business Operations,5.06 Post Bill Mgmt,"Handle billing inquiries, adjustments, and post-bill corrections.",5.06.00 Post Bill Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.06 Post Bill Mgmt,"Handle billing inquiries, adjustments, and post-bill corrections.",5.06.01 Billing Inquiry Management,Handle customer inquiries related to bills.
5. Pay,Business Operations,5.06 Post Bill Mgmt,"Handle billing inquiries, adjustments, and post-bill corrections.",5.06.02 Billing Adjustment Mgmt,Process adjustments to customer bills after issuance.
5. Pay,Business Operations,5.07 Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",5.07.00 Invoice Arrange Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.07 Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",5.07.01 Flexible Invoice Options,Provide flexible invoice delivery and layout options.
5. Pay,Business Operations,5.07 Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",5.07.02 Consolidation Options,Consolidate multiple invoices into a single statement.
5. Pay,Business Operations,5.07 Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",5.07.03 Billing Content Customer Requested,Provide customized billing content requested by customers.
5. Pay,Business Operations,5.07 Invoice Arrange Mgmt,"Manage invoice options, consolidation, and delivery formats.",5.07.04 Invoice Frequency Mgmt,Manage billing and invoice frequency preferences.
5. Pay,Business Operations,5.08 Payment Capture,Process and issue customer payments and settlements.,5.08.00 Payment Capture Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.08 Payment Capture,Process and issue customer payments and settlements.,5.08.01 Invoice / Settlement Issuance,Issue invoices and settlements for customer payments.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.00 Collections Leader/Management,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.01 Collection Policy Definition and Configuration,Define and configure policies for collections.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.02 Collection Policy Execution and Monitoring,Execute and monitor collection activities.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.03 Collection Settlement,Process settlements for collected payments.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.04 Payment Arrangement,Set up and manage customer payment arrangements.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.05 Payment Investigation,Investigate and resolve payment discrepancies.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.06 Bankruptcy Notification and Account Mgmt,Manage bankruptcy notifications and affected accounts.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.07 Bankruptcy Court Filing,File and manage bankruptcy cases in court.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.08 Bankruptcy Charges Reconciliation,Reconcile charges related to bankruptcy cases.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.09 Trustee Payment Mgmt,Manage trustee payments during bankruptcy processes.
5. Pay,Business Operations,5.09 Collections Mgmt,"Execute and monitor collection policies, settlements, and payment arrangements.",5.09.10 Bankruptcy Reporting & Analytics,Report and analyze bankruptcy-related collections data.
5. Pay,Business Operations,5.10 Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",5.10.00 Receivables Leader/Management,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.10 Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",5.10.01 Financial Customer & Account Mgmt,Manage customer financial accounts and receivables.
5. Pay,Business Operations,5.10 Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",5.10.02 Accounts Receivable Sub-Ledger,Maintain detailed sub-ledger for receivables.
5. Pay,Business Operations,5.10 Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.","5.10.03 Transaction Control, Accounting Derivation & Reporting",Control transactions and ensure accurate accounting and reporting.
5. Pay,Business Operations,5.10 Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",5.10.04 Credit Mgmt (crossed out in slide),"[Deprecated – removed from scope] Oversee customer credit limits, risk assessment, and credit approvals"
5. Pay,Business Operations,5.10 Receivables Mgmt,"Manage accounts receivable, reporting, and financial reconciliation.",5.10.05 Bankruptcy & Write-Off,Manage receivable write-offs and bankruptcies.
5. Pay,Business Operations,5.11 Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",5.11.00 Revenue Assurance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.11 Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",5.11.01 RA Audits & Controls,Perform audits and enforce revenue assurance controls.
5. Pay,Business Operations,5.11 Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",5.11.02 RA Monitoring & Reporting,Monitor and report revenue assurance metrics.
5. Pay,Business Operations,5.11 Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",5.11.03 RA Analytics,Analyze data to detect revenue assurance risks.
5. Pay,Business Operations,5.11 Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",5.11.04 RA Correction & Recovery,Correct errors and recover lost revenue.
5. Pay,Business Operations,5.11 Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",5.11.05 Contract Compliance,Ensure compliance with contract terms for billing and payments.
5. Pay,Business Operations,5.11 Revenue Assurance Mgmt,"Monitor, analyze, and enforce revenue assurance controls and compliance.",5.11.06 Cost to Serve Analytics,Analyze costs to serve customers and impact on revenue.
5. Pay,Business Operations,5.12 A&BR Mgmt,Conduct account and billing reviews to ensure accuracy and transparency.,5.12.00 A&BR Leader/Management,Management level 2 and above that touch all parts of the L1 capability
5. Pay,Business Operations,5.12 A&BR Mgmt,Conduct account and billing reviews to ensure accuracy and transparency.,5.12.01 Billing Accuracy Review,Review bills to ensure accuracy against contracts and usage.
5. Pay,Business Operations,5.12 A&BR Mgmt,Conduct account and billing reviews to ensure accuracy and transparency.,5.12.02 Account Spend & Usage Analysis,Analyze account spend and usage to identify trends and insights.
6. Support,Business Operations,6.01 Ticket Mgmt,"Capture, categorize, assign, and track support tickets through closure.",6.01.00 Ticket Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.01 Ticket Mgmt,"Capture, categorize, assign, and track support tickets through closure.",6.01.01 Ticket Creation & Categorization,Create support tickets and categorize them for routing.
6. Support,Business Operations,6.01 Ticket Mgmt,"Capture, categorize, assign, and track support tickets through closure.",6.01.02 Ticket Assignment & Tracking,Assign tickets to owners and track progress to closure.
6. Support,Business Operations,6.02 Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",6.02.00 Incident Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.02 Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",6.02.01 Incident Tracking and Management,Track and manage incidents from start to resolution.
6. Support,Business Operations,6.02 Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",6.02.02 Incident Orchestration Mgmt,Coordinate resources and systems to handle incidents.
6. Support,Business Operations,6.02 Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",6.02.03 Incident Prioritization,Rank incidents by severity and business impact.
6. Support,Business Operations,6.02 Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",6.02.04 Resource Engagement,Engage the right teams and experts to resolve incidents.
6. Support,Business Operations,6.02 Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",6.02.05 Incident Resolution,Resolve incidents and restore normal service quickly.
6. Support,Business Operations,6.02 Incident Mgmt,"Manage, prioritize, and resolve service incidents to restore operations quickly.",6.02.06 Problem Analysis (RCA),Perform root cause analysis to prevent recurring incidents.
6. Support,Business Operations,6.03 Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",6.03.00 Event Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.03 Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",6.03.01 Asset Identification,Identify assets impacted by events.
6. Support,Business Operations,6.03 Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",6.03.02 Access Mgmt,Manage access rights related to event responses.
6. Support,Business Operations,6.03 Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",6.03.03 Event Monitoring,Monitor systems and networks to detect events.
6. Support,Business Operations,6.03 Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",6.03.04 Event Smoothing,Filter and normalize event data to reduce noise.
6. Support,Business Operations,6.03 Event Mgmt,"Monitor and manage events to detect, correlate, and address service impacts.",6.03.05 Event Correlation,Correlate related events to identify root issues.
6. Support,Business Operations,6.04 Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",6.04.00 Change Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.04 Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",6.04.01 Initiate Change Request,Create and log change requests for review.
6. Support,Business Operations,6.04 Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",6.04.02 Change Activity Customer Identification,Identify customers impacted by change activities.
6. Support,Business Operations,6.04 Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",6.04.03 Execute Change Activity,Carry out approved change activities in systems or services.
6. Support,Business Operations,6.04 Change Mgmt,"Initiate, plan, and execute service changes with minimal disruption.",6.04.04 Scheduled Maintenance,Manage planned maintenance activities with minimal disruption.
6. Support,Business Operations,6.05 Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",6.05.00 Diagnose Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.05 Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",6.05.01 Diagnose Initiation,Initiate diagnostic checks for customer issues.
6. Support,Business Operations,6.05 Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",6.05.02 Diagnose Execution,Perform diagnostic steps to identify problems.
6. Support,Business Operations,6.05 Diagnose Mgmt,"Diagnose, analyze, and resolve technical issues affecting service.",6.05.03 Diagnose Access,Provide access to tools and systems for diagnostics.
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.00 Customer SLA Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.01 Solution SLA Mgmt,Define and monitor service level agreements for solutions.
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.02 SLA Financial Risk Analysis,Analyze financial risks associated with SLA breaches.
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.03 SLA RFP Response (Pre-Sale),Respond to RFPs with SLA terms during pre-sales.
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.04 SLA Approval,Review and approve SLA commitments with customers.
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.05 SLA Credit Processing,Process customer credits for SLA violations.
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.06 Product SLA Mgmt,Define and manage SLAs for specific products.
6. Support,Business Operations,6.06 Customer SLA Mgmt,"Define, monitor, and enforce customer service level agreements.",6.06.07 SLA Credit Tracking & Reporting,Track and report SLA credit applications.
6. Support,Business Operations,6.07 MACD,"Handle customer requests for moves, adds, changes, and disconnects.",6.07.00 MACD Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.07 MACD,"Handle customer requests for moves, adds, changes, and disconnects.",6.07.01 Solution Migration,Manage migration of existing customer solutions.
6. Support,Business Operations,6.07 MACD,"Handle customer requests for moves, adds, changes, and disconnects.",6.07.02 Solution Addition,Add new solutions or services for customers.
6. Support,Business Operations,6.07 MACD,"Handle customer requests for moves, adds, changes, and disconnects.",6.07.03 Solution Change,Modify or update existing customer solutions.
6. Support,Business Operations,6.07 MACD,"Handle customer requests for moves, adds, changes, and disconnects.",6.07.04 Solution Disconnect,Remove or disconnect solutions when required.
6. Support,Business Operations,6.08 Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",6.08.00 Contact Center Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.08 Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",6.08.01 Inside-sales / Cross-sell,Use contact center interactions to drive sales and cross-sell opportunities.
6. Support,Business Operations,6.08 Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",6.08.02 Assisted Care Operations,Provide assisted customer care through service agents.
6. Support,Business Operations,6.08 Contact Center,"Provide customer support through sales, assisted care, and workforce enablement.",6.08.03 Workforce Assist,Support agents with tools and insights to improve efficiency.
6. Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",6.09 Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",6.09.00 Customer Retention Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",6.09 Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",6.09.01 Customer Survey,Conduct surveys to gather customer satisfaction data.
6. Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",6.09 Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",6.09.02 Customer Feedback Analysis (Active),Analyze active customer feedback for improvement.
6. Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",6.09 Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",6.09.03 Customer Satisfaction Validation,Validate customer satisfaction levels against expectations.
6. Support,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",6.09 Customer Retention Mgmt,"Gather feedback, measure satisfaction, and strengthen customer relationships.",6.09.04 Customer Relationship Analysis,Analyze customer relationships to identify risks or opportunities.
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.00 Compliance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.01 Risk Management,Identify and manage risks related to compliance.
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.02 Policy and Compliance Mgmt,"Define, enforce, and monitor compliance policies."
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.03 Audit Mgmt,Plan and execute compliance audits across systems.
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.04 Seller & Channel Enablement,Ensure sellers and channels meet compliance requirements.
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.05 Vendor Risk Mgmt,Assess and manage compliance risks for vendors.
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.06 FCC Compliance,"Manage compliance with FCC regulations like service reporting, tariff requirements, and customer data protections."
6. Support,Business Operations,6.10 Compliance Mgmt,"Ensure adherence to policies, regulations, audits, and risk controls.",6.10.07 Device Vulnerability Mgmt,Track and mitigate vulnerabilities in customer devices.
7. Network,Business Operations,7.01 New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",7.01.00 New Network Build Planning Leader/Management,Management level 2 and above that touch all parts of the L1 capability
7. Network,Business Operations,7.01 New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",7.01.01 Business Case & Modeling,Build business cases and models to justify new network builds.
7. Network,Business Operations,7.01 New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",7.01.02 High-Level Design (HLD),Create high-level designs for planned network builds.
7. Network,Business Operations,7.01 New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",7.01.03 Survey and Low-level Design (LLD),Conduct site surveys and develop detailed low-level designs.
7. Network,Business Operations,7.01 New Network Build Planning,"Plan, design, and prepare business cases for new network builds.",7.01.04 Construction Packages,Prepare construction packages with detailed build instructions.
7. Network,Business Operations,7.02 Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",7.02.00 Network Maintenance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
7. Network,Business Operations,7.02 Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",7.02.01 Service Assurance,Monitor and maintain network performance and service quality.
7. Network,Business Operations,7.02 Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",7.02.02 Asset Service Management,Manage lifecycle and serviceability of network assets.
7. Network,Business Operations,7.02 Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",7.02.03 Network Management,Oversee network operations and maintenance activities.
7. Network,Business Operations,7.02 Network Maintenance,"Manage service assurance, asset upkeep, and ongoing network operations.",7.02.04 Last Mile & Customer Location Maintenance,"Deliver, install, and maintain last-mile connectivity and customer-premises equipment through on-going service and support"
7. Network,Business Operations,7.03 Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",7.03.00 Network Performance Leader/Management,Management level 2 and above that touch all parts of the L1 capability
7. Network,Business Operations,7.03 Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",7.03.01 Network Performance Monitoring,Continuously monitor network health and performance metrics.
7. Network,Business Operations,7.03 Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",7.03.02 Network Performance Analysis,Analyze network data to identify issues and trends.
7. Network,Business Operations,7.03 Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",7.03.03 Network Performance Reporting,Generate reports on network performance and service quality.
7. Network,Business Operations,7.03 Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",7.03.04 Network Performance Planning,Plan improvements and capacity based on performance analysis.
7. Network,Business Operations,7.03 Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",7.03.05 Network & Field Data Lake,Manage a centralized data lake for network and field data.
7. Network,Business Operations,7.03 Network Performance Mgmt,"Monitor, analyze, and report on network performance and capacity.",7.03.06 Threat Analysis & Intelligence Gathering,Identify and assess emerging threats through continuous intelligence gathering and analysis
8. Product,Product & Pricing,8.01 Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",8.01.00 Catalog Leader/Management,Management level 2 and above that touch all parts of the L1 capability
8. Product,Product & Pricing,8.01 Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",8.01.01 Solution Catalog Product & Offer Mgmt,Manage products and offers within the solution catalog.
8. Product,Product & Pricing,8.01 Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",8.01.02 Solution Catalog Content Mgmt,Maintain catalog content including descriptions and attributes.
8. Product,Product & Pricing,8.01 Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",8.01.03 Solution Catalog Pricing Mgmt,Define and manage product pricing in the catalog.
8. Product,Product & Pricing,8.01 Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",8.01.04 Solution Catalog Promotions & Discount Mgmt,Configure promotions and discounts for catalog products.
8. Product,Product & Pricing,8.01 Catalog Mgmt,"Manage solution catalogs, including product details, pricing, promotions, and user roles.",8.01.05 Solution Catalog User Role Management,Control user roles and access within the catalog system.
8. Product,Product & Pricing,8.02 ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",8.02.00 ELE Product Lifecycle Leader/Management,Management level 2 and above that touch all parts of the L1 capability
8. Product,Product & Pricing,8.02 ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",8.02.01 Product Capability Reqs Definition,Define capability requirements for new products.
8. Product,Product & Pricing,8.02 ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",8.02.02 Solution Configuration Mgmt,Configure and manage solution features and options.
8. Product,Product & Pricing,8.02 ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",8.02.03 Monetization Models Management,Define and manage product monetization and pricing models.
8. Product,Product & Pricing,8.02 ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",8.02.04 Product Catalog Lifecycle Mgmt,Manage catalog updates across the product lifecycle.
8. Product,Product & Pricing,8.02 ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",8.02.05 Product Performance Mgmt,Monitor and report on product performance in market.
8. Product,Product & Pricing,8.02 ELE Product Lifecycle Mgmt,"Define, configure, monitor, and retire products across their lifecycle.",8.02.06 Product Retirement & Rationalization,Retire outdated products and rationalize the portfolio.
